Table 1 
The BPT-valley Sample


ID	SDSS Name	Plate	MJD	Fiber	z	Hbetalambda4861	[O III]lambda5007	[O I]lambda6300	Halphalambda6563	[N II]lambda6584	
52	SDSS J081212.84+541539.8	1871	53384	0060	0.04417	93.10	809.73	34.28	326.93	94.82	
53	SDSS J084038.99+245101.6	1931	53358	0396	0.04334	137.37	770.11	39.75	579.80	151.50	
54	SDSS J122451.88+360535.4	2003	53442	0112	0.15094	25.95	148.22	11.11	126.62	35.77	
55	SDSS J134237.37+273251.3	2017	53474	0127	0.04947	12.67	97.69	10.27	60.02	17.32	
56	SDSS J140952.03+244334.6	2128	53800	0358	0.05215	45.42	220.76	12.29	198.30	41.19	
57	SDSS J142535.21+314027.1	2129	54252	0618	0.03324	91.61	362.11	42.31	323.51	95.49	
58	SDSS J145505.97+211121.1	2148	54526	0122	0.06751	82.30	441.80	12.31	437.94	126.61	
59	SDSS J083200.51+191205.8	2275	53709	0472	0.03753	549.64	6069.28	42.46	15422.57	419.58	
60	SDSS J103731.01+280626.9	2356	53786	0468	0.04263	54.57	447.10	24.55	216.95	65.48	
61	SDSS J104403.52+282628.3	2356	53786	0618	0.16286	225.46	1047.00	17.43	794.20	193.30	
62	SDSS J104724.40+204433.5	2478	54097	0541	0.26515	102.51	751.70	37.17	391.58	66.16	
63	SDSS J160635.22+142201.9	2524	54568	0498	0.03245	162.66	621.83	41.72	517.08	160.44	
64	SDSS J171901.28+643830.8	2561	54597	0345	0.08954	152.42	709.97	21.69	586.95	174.32	
65	SDSS J084658.44+111457.5	2574	54084	0382	0.06296	130.82	638.15	41.04	557.91	161.29	
66	SDSS J095745.49+152350.6	2584	54153	0442	0.05183	96.42	702.55	24.58	514.46	117.37	
67	SDSS J133014.91+242153.9	2665	54232	0388	0.07151	50.49	244.84	15.74	284.46	76.98	
68	SDSS J135007.07+164227.2	2742	54233	0551	0.13043	99.01	903.05	38.82	495.52	137.00	
69	SDSS J153941.67+171421.9	2795	54563	0509	0.04583	157.66	758.85	14.76	500.33	119.40	
70	SDSS J143730.46+620649.4	2947	54533	0227	0.21862	66.97	290.54	22.39	219.25	65.39	
Note. Column (1): identification number assigned in this paper. Column (2): object name. Columns (3)-(5): plate-MJD-fiber ID in the SDSS observation for analyzed spectra. Column (6): redshift measured by the SDSS pipeline. Columns (7)-(11): emission-line fluxes in units of 10^-17 $\mathrm{erg}\ {{\rm{s}}}^{-1}\ {\mathrm{cm}}^{-2}$.
